state_name,area_type,total_persons,male_persons,female_persons,total_literate,male_literate,female_literate,literacy_rate,gender_literacy_gap
kerala,total,33406061,16027412,17378649,28135824,13704903,14430921,0.842237101824127,0.024709239965682
lakshadweep,total,64473,33123,31350,52553,28023,24530,0.8151164053169544,0.0635722991020709
goa,total,1458545,739140,719405,1165487,615823,549664,0.799075105670377,0.0691078843768635
daman_and_diu,total,243247,150301,92946,188406,124643,63763,0.7745460375667531,0.1432672350221751
andaman_and_nicobar_islands,total,380581,202871,177710,294281,164377,129904,0.7732414387475991,0.0792651171683201
mizoram,total,1097206,555339,541867,848175,438529,409646,0.7730316822912014,0.0336700709812506
puducherry,total,1247953,612511,635442,957309,497378,459931,0.7671034085418281,0.088234151758883
tripura,total,3673917,1874376,1799541,2804783,1501369,1303414,0.7634312370148808,0.0766931187333732
chandigarh,total,1055450,580663,474787,805438,465346,340092,0.7631228385996495,0.0851002374403916
nct_of_delhi,total,16787941,8987326,7800615,12737767,7194856,5542911,0.7587450420513153,0.0899822155289931
himachal_pradesh,total,6864602,3481873,3382729,5039736,2752590,2287146,0.7341628837330991,0.1144241364394312
sikkim,total,610577,323070,287507,444952,251269,193683,0.728740191654779,0.1040904493546526
maharashtra,total,112374333,58243056,54131277,81554290,45257584,36296706,0.725737700262924,0.1065157399412172
tamil_nadu,total,72147030,36137975,36009055,51837507,28040491,23797016,0.7184981419193556,0.1150666762965381
uttarakhand,total,10086292,5137773,4948519,6880953,3863708,3017245,0.6822083873835896,0.1422931201871854
gujarat,total,60439692,31491260,28948432,41093358,23474873,17618485,0.6799068069374014,0.1368246826979904
nagaland,total,1978502,1024649,953853,1342434,723957,618477,0.6785103072930935,0.0581428069406521
punjab,total,27743338,14639465,13103873,18707137,10436056,8271081,0.6742929419668247,0.0816777888239504
west_bengal,total,91276115,46809027,44467088,61538281,33818810,27719471,0.6741991702867721,0.0991142864021925
manipur,total,2855794,1438586,1417208,1908476,1039858,868618,0.668282095977511,0.1099254786291425
karnataka,total,61095297,30966657,30128640,40647322,22508471,18138851,0.665310162908284,0.1248147178159586
haryana,total,25351462,13494734,11856728,16598988,9794067,6804921,0.6547546646422207,0.1518404677259871
dadra_and_nagar_haveli,total,343709,193760,149949,223230,142521,80709,0.6494738281511395,0.1973112913510329
odisha,total,41974218,21212136,20762082,26742595,15089681,11652914,0.6371195527692738,0.1501107646673319
assam,total,31205576,15939443,15266133,19177977,10568639,8609338,0.6145689155040753,0.0990993050569509
chhattisgarh,total,25545198,12832895,12712303,15379922,8807893,6572029,0.6020670499402666,0.1693709902167641
meghalaya,total,2966889,1491832,1475057,1785005,913879,871126,0.6016419893025995,0.022017338544913
andhra_pradesh,total,84580777,42442146,42138631,50556760,28251243,22305517,0.5977334542575791,0.1363047104410362
madhya_pradesh,total,72626809,37612306,35014503,42851169,25174328,17676841,0.5900186114469107,0.1644675357566217
uttar_pradesh,total,199812341,104480510,95331831,114397555,68234964,46162591,0.572524972318902,0.1688573548903145
jammu_and_kashmir,total,12541302,6640662,5900640,7067233,4264671,2802562,0.5635166906912855,0.1672467142812759
rajasthan,total,68548437,35550997,32997440,38275282,23688412,14586870,0.558368413272501,0.224261359402538
jharkhand,total,32988134,16930315,16057819,18328069,10882519,7445550,0.5555958090869887,0.1791117079133039
arunachal_pradesh,total,1383727,713912,669815,766005,439868,326137,0.5535810170647822,0.1292314771642287
bihar,total,104099452,54278157,49821295,52504553,31608023,20896530,0.5043691584466746,0.1629044402032167
