state_name,total_persons,literacy_rate,gender_literacy_gap,priority_flag,risk_score
kerala,33406061,0.842237101824127,0.024709239965682,False,0.8403867246359801
lakshadweep,64473,0.8151164053169544,0.0635722991020709,False,0.5008014754003696
goa,1458545,0.799075105670377,0.0691078843768635,False,0.5181235060024358
daman_and_diu,243247,0.7745460375667531,0.1432672350221751,True,0.503023812710833
andaman_and_nicobar_islands,380581,0.7732414387475991,0.0792651171683201,False,0.5047309333781957
mizoram,1097206,0.7730316822912014,0.0336700709812506,False,0.5136361935126268
puducherry,1247953,0.7671034085418281,0.088234151758883,False,0.5155085640762246
tripura,3673917,0.7634312370148808,0.0766931187333732,False,0.5455445633958231
chandigarh,1055450,0.7631228385996495,0.0851002374403916,False,0.5131174883406415
nct_of_delhi,16787941,0.7587450420513153,0.0899822155289931,False,0.6973639072705379
himachal_pradesh,6864602,0.7341628837330991,0.1144241364394312,True,0.5845161523279596
sikkim,610577,0.728740191654779,0.1040904493546526,True,0.5075896154641899
maharashtra,112374333,0.725737700262924,0.1065157399412172,True,0.9962706557785016
tamil_nadu,72147030,0.7184981419193556,0.1150666762965381,True,0.9730772975860096
uttarakhand,10086292,0.6822083873835896,0.1422931201871854,True,0.6228208004280454
gujarat,60439692,0.6799068069374014,0.1368246826979904,True,0.952815196292068
nagaland,1978502,0.6785103072930935,0.0581428069406521,True,0.5245753151898876
punjab,27743338,0.6742929419668247,0.0816777888239504,True,0.7989156307052402
west_bengal,91276115,0.6741991702867721,0.0991142864021925,True,0.9894255390840053
manipur,2855794,0.668282095977511,0.1099254786291425,True,0.5354413802603013
karnataka,61095297,0.665310162908284,0.1248147178159586,True,0.9542593845352385
haryana,25351462,0.6547546646422207,0.1518404677259871,True,0.7791285722383563
dadra_and_nagar_haveli,343709,0.6494738281511395,0.1973112913510329,True,0.5042726077441171
odisha,41974218,0.6371195527692738,0.1501107646673319,True,0.8896487094341257
assam,31205576,0.6145689155040753,0.0990993050569509,True,0.8251576469205517
chhattisgarh,25545198,0.6020670499402666,0.1693709902167641,True,0.7807819119193703
meghalaya,2966889,0.6016419893025995,0.022017338544913,True,0.536815211934981
andhra_pradesh,84580777,0.5977334542575791,0.1363047104410362,True,0.9853095567656998
madhya_pradesh,72626809,0.5900186114469107,0.1644675357566217,True,0.9736952933214279
uttar_pradesh,199812341,0.572524972318902,0.1688573548903145,True,0.9999515834468935
jammu_and_kashmir,12541302,0.5635166906912855,0.1672467142812759,True,0.6510398705008915
rajasthan,68548437,0.558368413272501,0.224261359402538,True,0.9679708165160028
jharkhand,32988134,0.5555958090869887,0.1791117079133039,True,0.8375794264645443
arunachal_pradesh,1383727,0.5535810170647822,0.1292314771642287,True,0.5171945896759305
bihar,104099452,0.5043691584466746,0.1629044402032167,True,0.9943829741281018
